Category,English,EnURL,French,FrURL,Italian,ItURL,圖檔URL,中文,中文說明,version
Plant-based 植物性,Nettle,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/nettle_en.mp3,Ortie,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/nettle_fr.mp3,Ortica,Nettle_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/nettle.jpg,蕁麻,蕁麻口感清脆，帶有微苦味，常見用途為製成涼拌菜、湯品或炒菜中的配菜。,
Plant-based 植物性,Pumpkin seeds,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pumpkin seeds_en.mp3,Grains de citrouille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pumpkin seeds_fr.mp3,Semi di zucca,Pumpkin seeds_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/pumpkin seeds.jpg,南瓜籽,南瓜籽口感酥脆，帶有淡淡的堅果風味，常見用途包括作為零食、烘焙食材或加入沙拉中增添口感。,
Plant-based 植物性,Chestnut,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chestnut_en.mp3,Châtaigne,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chestnut_fr.mp3,Castagna,Chestnut_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/chestnut.jpg,栗子,栗子口感鬆脆，甜美濃郁，常見用途包括烤、煮、泡茶或製成甜點，是秋冬季節的暖心美味。,
Plant-based 植物性,Sunflower seeds,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sunflower seeds_en.mp3,Grains de tournesol,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sunflower seeds_fr.mp3,Semi di girasole,Sunflower seeds_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/sunflower seeds.jpg,葵花籽,葵花籽口感香脆，風味帶有微甜，常見用途烘烤後加入沙拉或穀物食品中增添口感。,
Plant-based 植物性,Sesame seeds,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sesame seeds_en.mp3,Grains de sésame,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sesame seeds_fr.mp3,Semi di sesamo,Sesame seeds_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/sesame seeds.jpg,芝麻,芝麻具有香氣濃郁、口感脆脆的特色，常見用途包括點綴烤肉、拌麵、製作芝麻醬等料理中，增添香味和口感。,
Plant-based 植物性,Poppy seeds,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/poppy seeds_en.mp3,Grains de pavot,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/poppy seeds_fr.mp3,Semi di papavero,Poppy seeds_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/poppy seeds.jpg,罌粟籽,罌粟籽口感細緻，帶有微苦味，風味濃郁香氣，常用於烘焙製作餡料或以其製作堅果醬。,
Plant-based 植物性,Avocado,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/avocado_en.mp3,Avocat,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/avocado_fr.mp3,Avocado,Avocado_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/avocado.jpg,酪梨,酪梨口感綿密濕潤，搭配淡淡的奶油香氣，風味濃郁且滑順，常見用途包括製作沙拉、三明治或醬料。,
Plant-based 植物性,Coconut,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/coconut_en.mp3,Noix de coco,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/coconut_fr.mp3,Noce di cocco,Coconut_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/coconut.jpg,椰子,椰子肉質細膩，口感軟嫩，帶有淡淡的甜味，適合製作甜點或加入料理中增添香氣。,
Plant-based 植物性,Lychee,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lychee_en.mp3,Litchi,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lychee_fr.mp3,Litchi,Lychee_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lychee.jpg,荔枝,荔枝果肉多汁爽甜，口感豐富，帶有淡淡的花香與甜味，常見用途包括生食、製作果汁或甜點。,
Plant-based 植物性,Mango,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mango_en.mp3,Mangue,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mango_fr.mp3,Mango,Mango_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/mango.jpg,芒果,芒果口感豐富多汁，甜味濃郁且帶有微酸，風味獨特。常見用途包括製作果汁、沙拉或甜點。,
Plant-based 植物性,Papaya,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/papaya_en.mp3,Papaye,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/papaya_fr.mp3,Papaia,Papaya_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/papaya.jpg,木瓜,木瓜味道甜蜜且多汁，口感細緻，常用於製作果汁或沙拉，亦可用來烹煮湯品或料理燉飯。,
Plant-based 植物性,Passion fruit,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/passion fruit_en.mp3,Fruit de la passion,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/passion fruit_fr.mp3,Frutto della passione,Passion fruit_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/passion fruit.jpg,百香果,百香果口感酸甜多汁，帶有微微的清爽香氣，常見用途包括製作果醬、果汁、甜點等。,
Plant-based 植物性,Persimmon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/persimmon_en.mp3,Kaki,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/persimmon_fr.mp3,Cachi,Persimmon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/persimmon.jpg,柿子,柿子口感軟糯，風味甜美且帶有淡淡的酸味，常見用途包括生食、製作果醬或烘焙甜點。,
Plant-based 植物性,Fig,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fig_en.mp3,Figue,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fig_fr.mp3,Fico,Fig_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/fig.jpg,無花果,無花果肉質軟綿，甜中帶點濃郁的果香，常見用途包括直接食用、製作果醬或加入沙拉中增添口感。,
Plant-based 植物性,Date,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/date_en.mp3,Datte,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/date_fr.mp3,Dattero,Date_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/date.jpg,椰棗,椰棗口感綿密軟嫩，風味香甜濃郁，常見用途包括製作甜點、烘焙、糕點或直接作為零食享用。,
Plant-based 植物性,Raspberry,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/raspberry_en.mp3,Framboise,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/raspberry_fr.mp3,Lampone,Raspberry_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/raspberry.jpg,覆盆子,覆盆子口感酸甜多汁，帶有微微的酸味，風味清新，常見用途包括製作果醬、水果沙拉和甜點。,
Plant-based 植物性,Blackberry,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/blackberry_en.mp3,Mûre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/blackberry_fr.mp3,Mora,Blackberry_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/blackberry.jpg,黑莓,黑莓果肉多汁，帶有微酸甜味，口感細緻爽脆。常見用途包括製作果醬、沙拉和甜點，營養豐富。,
Plant-based 植物性,Blueberry,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/blueberry_en.mp3,Myrtille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/blueberry_fr.mp3,Mirtillo,Blueberry_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/blueberry.jpg,藍莓,藍莓口感清脆多汁，風味帶有淡淡的酸甜，常見於製作甜點、果醬或加入沙拉中增添風味。,
Plant-based 植物性,Cranberry,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cranberry_en.mp3,Canneberge,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cranberry_fr.mp3,Mirtillo rosso,Cranberry_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cranberry.jpg,蔓越莓,蔓越莓帶有酸甜口感，微微帶有苦味，常用於製作果醬、烘焙食品或添加至沙拉中提升風味。,
Plant-based 植物性,Pomegranate,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pomegranate_en.mp3,Grenade,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pomegranate_fr.mp3,Melagrana,Pomegranate_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/pomegranate.jpg,石榴,石榴的口感多汁爽脆，風味酸甜可口，常用於製作果汁、沙拉或作為水果甜點的點綴。,
Plant-based 植物性,Pineapple,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pineapple_en.mp3,Ananas,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pineapple_fr.mp3,Ananas,Pineapple_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/pineapple.jpg,鳳梨,鳳梨口感清爽多汁，帶有淡淡的甜味，常見於水果沙拉、凍麵包等甜點中，也可用於燉湯或醃製菜餚中增添風味。,
Plant-based 植物性,Kiwi,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kiwi_en.mp3,Kiwi,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kiwi_fr.mp3,Kiwi,Kiwi_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/kiwi.jpg,奇異果,奇異果口感清爽多汁，風味甜美帶有微酸，常見用途包括沙拉、果汁和甜點。,
Plant-based 植物性,Apple,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/apple_en.mp3,Pomme,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/apple_fr.mp3,Mela,Apple_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/apple.jpg,蘋果,蘋果口感爽脆多汁，風味清甜帶微酸，可生食或烹煮製作各式甜點，也是常見的水果零嘴選擇。,
Plant-based 植物性,Pear,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pear_en.mp3,Poire,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pear_fr.mp3,Pera,Pear_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/pear.jpg,梨子,梨子多汁爽脆，口感清甜，帶有淡淡花香，常見用途包括生食、烹煮或製作果醬。,
Plant-based 植物性,Grapes,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/grapes_en.mp3,Raisin,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/grapes_fr.mp3,Uva,Grapes_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/grapes.jpg,葡萄,葡萄圓潤多汁，帶有甜蜜的風味，可生食或製成葡萄酒、果醬等食品。,
Plant-based 植物性,Lemon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lemon_en.mp3,Citron,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lemon_fr.mp3,Limone,Lemon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lemon.jpg,檸檬,檸檬口感清新酸爽，帶有微微苦味，風味濃烈帶點甜，常見用途包括製作飲料、調味料和烹飪中增加酸度。,
Plant-based 植物性,Lime,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lime_en.mp3,Citron vert,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lime_fr.mp3,Lime,Lime_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lime.jpg,萊姆,萊姆口感清新，風味酸甜，常見用途是製作果汁、調製雞尾酒或擺盤裝飾。,
Plant-based 植物性,Orange,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/orange_en.mp3,Orange,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/orange_fr.mp3,Arancia,Orange_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/orange.jpg,柳橙,柳橙口感清爽多汁，風味酸甜帶點微苦，常見用途包括製作果汁、沙拉、調味料等。,
Plant-based 植物性,Grapefruit,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/grapefruit_en.mp3,Pamplemousse,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/grapefruit_fr.mp3,Pompelmo,Grapefruit_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/grapefruit.jpg,葡萄柚,葡萄柚口感酸甜多汁，風味清新爽口，常見用途為製作果汁、沙拉或果醬。,
Plant-based 植物性,Tangerine,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tangerine_en.mp3,Mandarine,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tangerine_fr.mp3,Mandarino,Tangerine_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/tangerine.jpg,橘子,橘子口感清爽多汁，風味酸甜可口，常見用途包括生食、製作果汁或料理中添加提味。,
Plant-based 植物性,Banana,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/banana_en.mp3,Banane,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/banana_fr.mp3,Banana,Banana_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/banana.jpg,香蕉,香蕉口感滑嫩，風味香甜，常見用途包括生吃、製作甜點、加入沙拉或果汁中，是富含維生素的健康水果。,
Plant-based 植物性,Watermelon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/watermelon_en.mp3,Pastèque,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/watermelon_fr.mp3,Anguria,Watermelon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/watermelon.jpg,西瓜,西瓜口感清爽多汁，甜度適中，風味獨特。常見用途包括生食、做成果汁或沙拉。,
Plant-based 植物性,Melon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/melon_en.mp3,Melon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/melon_fr.mp3,Melone,Melon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/melon.jpg,哈密瓜,哈密瓜口感清爽多汁，風味甜美爽口，常見用途為切片生食或製作果汁、沙拉等料理。,
Plant-based 植物性,Rhubarb,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/rhubarb_en.mp3,Rhubarbe,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/rhubarb_fr.mp3,Rabarbaro,Rhubarb_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/rhubarb.jpg,大黃,大黃口感酸甜多汁，風味獨特，常見用途是製作甜點、果醬或果汁，也可用來調製醬料或燉煮肉類菜餚。,
Plant-based 植物性,Black pepper,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/black pepper_en.mp3,Poivre noir,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/black pepper_fr.mp3,Pepe nero,Black pepper_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/black pepper.jpg,黑胡椒,黑胡椒味辛辣濃烈，帶有微微的木質香氣，常用於調味肉類、湯品和醃料中，增添料理的層次與風味。,
Plant-based 植物性,White pepper,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white pepper_en.mp3,Poivre blanc,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/white pepper_fr.mp3,Pepe bianco,White pepper_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/white pepper.jpg,白胡椒,白胡椒具有輕柔的辛辣味道，帶有微微的木質香氣，常用於提升菜餚的香氣和口感，適合烹調各式料理。,
Plant-based 植物性,Green pepper,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/green pepper_en.mp3,Poivre vert,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/green pepper_fr.mp3,Pepe verde,Green pepper_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/green pepper.jpg,青胡椒,青胡椒的口感爽脆多汁，帶有微辣的風味。常見用途是用來調味各種菜餚，增添料理的層次感和風味。,
Plant-based 植物性,Clove,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/clove_en.mp3,Clou de girofle,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/clove_fr.mp3,Chiodo di garofano,Clove_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/clove.jpg,丁香,丁香的口感獨特，帶有微苦和微辛的風味，常用於烹飪調味料中，能增添菜餚的層次感和香氣。,
Plant-based 植物性,Nutmeg,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/nutmeg_en.mp3,Noix de muscade,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/nutmeg_fr.mp3,Noce moscata,Nutmeg_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/nutmeg.jpg,肉豆蔻,肉豆蔻有著濃郁的香氣和微辛的味道，常用於烹飪中增添深度和層次感。其口感獨特，能帶給料理豐富的風味。,
Plant-based 植物性,Cinnamon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cinnamon_en.mp3,Cannelle,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cinnamon_fr.mp3,Cannella,Cinnamon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cinnamon.jpg,肉桂,肉桂是一種香甜且微辛的香料，常用於烘焙、烹飪和飲品中，能為食物帶來溫暖的風味，讓人感覺舒適和幸福。,
Plant-based 植物性,Star anise,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/star anise_en.mp3,Anis étoilé,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/star anise_fr.mp3,Anice stellato,Star anise_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/star anise.jpg,八角,八角有著濃郁的香氣和微辣的味道，口感紮實帶有些許油脂，常見用途是烹調紅燒肉或燉湯料理中增添風味。,
Plant-based 植物性,Cumin,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cumin_en.mp3,Cumin,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cumin_fr.mp3,Cumino,Cumin_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cumin.jpg,孜然,孜然具有獨特的辛辣香氣，口感微苦微甜，常用於烹飪中提升料理的層次感，是許多亞洲和中東料理中常見的調味料。,
Plant-based 植物性,Coriander seed,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/coriander seed_en.mp3,Coriandre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/coriander seed_fr.mp3,Coriandolo,Coriander seed_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/coriander seed.jpg,芫荽籽,芫荽籽口感微辣，帶有濃郁的香氣，常用於烹飪中增添香味，也可用來調味肉類、湯品和醃料。,
Plant-based 植物性,Cardamom,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cardamom_en.mp3,Cardamome,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cardamom_fr.mp3,Cardamomo,Cardamom_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cardamom.jpg,荳蔻,荳蔻是一種具有獨特香氣和微辣味的香料，口感溫和且帶有木質風味。常見用途包括烹飪、烘焙和調製飲料。,
Plant-based 植物性,Turmeric,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/turmeric_en.mp3,Curcuma,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/turmeric_fr.mp3,Curcuma,Turmeric_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/turmeric.jpg,薑黃,薑黃口感微辛，風味獨特，常見用途包括烹飪調味、製作飲料或添加於甜點中，具有提升風味和調理身體的功效。,
Plant-based 植物性,Paprika,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/paprika_en.mp3,Paprika,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/paprika_fr.mp3,Paprika,Paprika_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/paprika.jpg,紅椒粉,紅椒粉是一種紅色調調味料，口感微辣，風味獨特，常用於調味肉類、湯品或燉菜，增添香氣和風味。,
Plant-based 植物性,Chili pepper,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chili pepper_en.mp3,Piment chili,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chili pepper_fr.mp3,Peperoncino,Chili pepper_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/chili pepper.jpg,辣椒,辣椒口感辛辣、風味獨特，常見用途是烹飪時增添香氣與調味，也可用於製作辣椒醬或醃製食材。,
Plant-based 植物性,Mustard seed,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mustard seed_en.mp3,Grain de moutarde,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mustard seed_fr.mp3,Semi di senape,Mustard seed_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/mustard seed.jpg,芥末籽,芥末籽擁有微辣的口感，帶有獨特的辛辣風味。常見用途包括製作芥末醬、調味料或作為食材的一部分。,
Plant-based 植物性,Fennel seeds,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fennel seeds_en.mp3,Grains de fenouil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fennel seeds_fr.mp3,Semi di finocchio,Fennel seeds_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/fennel seeds.jpg,茴香籽,茴香籽口感帶有微微的辛辣感，風味濃厚且帶有一絲甜味，常見用途是用來增添料理的香氣和口感。,
Plant-based 植物性,Dill,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/dill_en.mp3,Aneth,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/dill_fr.mp3,Aneto,Dill_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/dill.jpg,蒔蘿,蒔蘿口感清脆，帶有微苦的風味，常見用途是作為沙拉或湯品的配料，也可用來製作香料調味料。,
Plant-based 植物性,Marjoram,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/marjoram_en.mp3,Marjolaine,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/marjoram_fr.mp3,Maggiorana,Marjoram_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/marjoram.jpg,墨角蘭,墨角蘭有著嫩脆的口感，帶有微甜的風味，常見用途包括涼拌、炒菜或燒湯，是廣受歡迎的青菜之一。,
Plant-based 植物性,Bay leaf,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bay leaf_en.mp3,Feuille de laurier,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bay leaf_fr.mp3,Foglia di alloro,Bay leaf_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/bay leaf.jpg,月桂葉,月桂葉具有獨特的香氣和苦味，常被用來調味湯品、肉類料理和燉菜中，增添風味。,
Plant-based 植物性,Curry leaves,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/curry leaves_en.mp3,Feuilles de curry,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/curry leaves_fr.mp3,Foglie di curry,Curry leaves_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/curry leaves.jpg,咖哩葉,咖哩葉具有獨特的香氣和微辣口感，常用於烹飪中增添香味，讓菜餚更加風味獨特。,
Plant-based 植物性,Oregano,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/oregano_en.mp3,Origan,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/oregano_fr.mp3,Origano,Oregano_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/oregano.jpg,奧勒岡,奧勒岡是一種具有濃郁香料味的調味料，常用於烹飪中增添風味。其口感香氣撲鼻，適合用於調味各式料理。,
Plant-based 植物性,Sage,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sage_en.mp3,Sauge,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sage_fr.mp3,Salvia,Sage_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/sage.jpg,鼠尾草,鼠尾草口感清爽，風味濃烈，常見用途包括烹飪調味、沖泡茶飲或製作香料。,
Plant-based 植物性,Chives,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chives_en.mp3,Ciboulette,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chives_fr.mp3,Erba cipollina,Chives_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/chives.jpg,細香蔥,細香蔥口感爽脆，帶有微甜的風味，常見用途包括烹調各式料理，如炒菜、湯品和燉煮。,
Plant-based 植物性,Parsley,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsley_en.mp3,Persil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsley_fr.mp3,Prezzemolo,Parsley_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/parsley.jpg,巴西里,巴西里有著清新的香氣，口感有些微辛辣，常見用途是用來調味義大利麵、沙拉或肉類料理，增添獨特風味。,
Plant-based 植物性,Ginger,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/ginger_en.mp3,Gingembre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/ginger_fr.mp3,Zenzero,Ginger_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/ginger.jpg,薑,薑有辛辣的口感，帶有獨特的香氣，常用於料理中增添風味，也可用來製作薑汁調理飲料或燉煮湯品。,
Plant-based 植物性,Garlic powder,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/garlic powder_en.mp3,Ail en poudre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/garlic powder_fr.mp3,Aglio in polvere,Garlic powder_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/garlic powder.jpg,蒜粉,蒜粉具有濃烈的蒜味和香氣，適合用來調味各式料理，增添獨特風味；口感細緻，使菜餚更加美味。,
Plant-based 植物性,Vanilla,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/vanilla_en.mp3,Vanille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/vanilla_fr.mp3,Vaniglia,Vanilla_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/vanilla.jpg,香草,香草口感清新爽口，帶有芳香氣息，用途廣泛，常見於烹飪、調味料及製作甜點中。,
Plant-based 植物性,Allspice,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/allspice_en.mp3,Quatre-épices,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/allspice_fr.mp3,Pimento,Allspice_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/allspice.jpg,多香果,多香果口感細膩多汁，帶有淡淡的甜味，常見用途可製成果醬、果醬或加入沙拉中提升風味。,
Plant-based 植物性,Fenugreek,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fenugreek_en.mp3,Fenugrec,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fenugreek_fr.mp3,Fieno greco,Fenugreek_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/fenugreek.jpg,胡蘆巴,胡蘆巴的口感酸甜微辣，風味獨特，常見用途為提味調色，也可用於製作醃料或調味料。,
